"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1609992,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.257825,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,330417.6,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.644845,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,400408,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.295473,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1973043,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.472893,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","CZK","Czech Koruna","6","Millions",,,4313789,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,2.715116,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","DKK","Danish Krone","6","Millions",,,1942584,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.261906,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,205364,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,-0.70843,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,2139964,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.636622,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,2923930,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.595338,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,177559.4211,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.653981,,
"IRL","Ireland","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,193159.5936,,
"IRL","Ireland","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,8.462367,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","PLN","Zloty","6","Millions",,,1719146,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.282568,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,173446.192,"E","Estimated value"
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,1041160,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.360673,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","CHF","Swiss Franc","6","Millions",,,642255.9063,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.889477,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","GBP","Pound Sterling","6","Millions",,,1822480,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.070484,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,7.25102,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","COP","Colombian Peso","6","Millions",,,757506000,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,4.385711,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,19962.68,,
"RUS","Russia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","RUB","Russian Ruble","6","Millions",,,71406399.2,,
"RUS","Russia","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,0.640486,,
"EU15","European Union (15 countries)","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.399392,"E","Estimated value"
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.905949,"E","Estimated value"
"HUN","Hungary","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,3.67222,,
"HUN","Hungary","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","HUF","Forint","6","Millions",,,32179666,,
"ISL","Iceland","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.82666,,
